SourceIPaddress,DestinationIPaddress,Ping,PacketSize(Bytes),Average_Delay(secs),Delay(Std.Dev.)(secs),Average_Jitter(secs),Bytes_Received,Average_BitRate(Kbit/s),Average_PacketRate(pkt/s)
10.100.200.2,10.100.100.2,Transit,512,0.001737,0.001967,0.001218,674816,360.167094,87.931419
10.100.200.2,192.168.3.10,Neighbouring,512,0.001172,0.002156,0.000945,662016,353.113242,86.209288
10.100.200.2,192.168.4.10,Neighbouring,512,0.001745,0.002093,0.001096,671744,358.429467,87.507194
10.100.200.2,10.0.10.22,Neighbouring,512,0.001457,0.003101,0.00104,668672,356.797447,87.108752
10.100.200.2,10.0.10.23,Neighbouring,512,0.001192,0.001711,0.000849,664064,354.329112,86.506131
10.100.200.2,10.0.10.101,Neighbouring,512,0.001778,0.002093,0.001061,672768,358.978871,87.641326
10.100.200.2,10.100.100.2,Transit,512,0.000854,0.001449,0.000323,4217344,2249.658071,549.232928
10.100.200.2,192.168.3.10,Neighbouring,512,0.000694,0.0009,0.000265,4082688,2177.787999,531.686523
10.100.200.2,192.168.4.10,Neighbouring,512,0.001039,0.001196,0.000369,4739584,2528.121115,617.217069
10.100.200.2,10.0.10.22,Neighbouring,512,0.000861,0.001367,0.000328,4146688,2211.711137,539.968539
10.100.200.2,10.0.10.23,Neighbouring,512,0.000669,0.000634,0.000231,4111872,2193.262469,535.46447
10.100.200.2,10.0.10.101,Neighbouring,512,0.001019,0.001191,0.000347,4679680,2496.103738,609.400327
10.100.200.2,10.100.100.2,Transit,512,0.000683,0.000591,9.60E-05,12626432,6734.327381,1644.122896
10.100.200.2,192.168.3.10,Neighbouring,512,0.000521,0.000441,6.50E-05,16078848,8576.3553,2093.836743
10.100.200.2,192.168.4.10,Neighbouring,512,0.000795,0.000602,0.000108,10740224,5728.597614,1398.583402
10.100.200.2,10.0.10.22,Neighbouring,512,0.000683,0.001179,0.000104,12624384,6735.575994,1644.427733
10.100.200.2,10.0.10.23,Neighbouring,512,0.000558,0.000623,8.30E-05,15709696,8381.11553,2046.170784
10.100.200.2,10.0.10.101,Neighbouring,512,0.000886,0.004259,0.000204,9896960,5273.185282,1287.398751
10.100.200.2,10.100.100.2,Transit,1024,0.00153,0.001727,0.000998,1344512,716.974984,87.52136
10.100.200.2,192.168.3.10,Neighbouring,1024,0.001221,0.001426,0.000867,1343488,716.929418,87.515798
10.100.200.2,192.168.4.10,Neighbouring,1024,0.001956,0.003087,0.001325,1305600,696.512655,85.023518
10.100.200.2,10.0.10.22,Neighbouring,1024,0.001592,0.001893,0.001132,1347584,719.008465,87.769588
10.100.200.2,10.0.10.23,Neighbouring,1024,0.001148,0.001767,0.000763,1306624,697.025845,85.086163
10.100.200.2,10.0.10.101,Neighbouring,1024,0.001845,0.002093,0.001196,1331200,709.910341,86.658977
10.100.200.2,10.100.100.2,Transit,1024,0.000833,0.001103,0.000306,8771584,4678.38523,571.091947
10.100.200.2,192.168.3.10,Neighbouring,1024,0.000601,0.000789,0.000182,8551424,4560.80325,556.738678
10.100.200.2,192.168.4.10,Neighbouring,1024,0.001022,0.001209,0.000362,9165824,4888.656849,596.759869
10.100.200.2,10.0.10.22,Neighbouring,1024,0.000801,0.000898,0.000256,8332288,4444.260548,542.512274
10.100.200.2,10.0.10.23,Neighbouring,1024,0.000657,0.000803,0.000235,8360960,4461.033862,544.559798
10.100.200.2,10.0.10.101,Neighbouring,1024,0.001039,0.001011,0.000365,9337856,4980.794535,608.007145
10.100.200.2,10.100.100.2,Transit,1024,0.00068,0.000634,9.00E-05,25545728,13626.50583,1663.391824
10.100.200.2,192.168.3.10,Neighbouring,1024,0.000531,0.000533,7.20E-05,31748096,16933.80014,2067.114275
10.100.200.2,192.168.4.10,Neighbouring,1024,0.000802,0.000717,0.000115,21272576,11345.79593,1384.984855
10.100.200.2,10.0.10.22,Neighbouring,1024,0.000678,0.000805,9.40E-05,25556992,13630.94188,1663.933335
10.100.200.2,10.0.10.23,Neighbouring,1024,0.000542,0.000569,7.70E-05,31451136,16775.95567,2047.846151
10.100.200.2,10.0.10.101,Neighbouring,1024,0.000814,0.000777,0.000112,21277696,11352.52293,1385.806022
192.168.3.10,10.100.100.2,Neighbouring,512,0.001559,0.002236,0.00119,669184,357.077005,87.177003
192.168.3.10,10.100.200.2,Neighbouring,512,0.001166,0.001803,0.000844,664576,354.734845,86.605187
192.168.3.10,192.168.4.10,Within,512,0.001075,0.001212,0.000721,674816,360.122358,87.920497
192.168.3.10,10.0.10.22,Within,512,0.000823,0.001461,0.000671,657408,351.031818,85.701127
192.168.3.10,10.0.10.23,Within,512,0.000664,0.00099,0.000565,674304,359.855653,87.855384
192.168.3.10,10.0.10.101,Within,512,0.001008,0.001102,0.000699,680448,363.087725,88.644464
192.168.3.10,10.100.100.2,Neighbouring,512,0.00085,0.001231,0.00031,4152832,2215.626884,540.924532
192.168.3.10,10.100.200.2,Neighbouring,512,0.000689,0.000895,0.000261,4038656,2154.608602,526.027491
192.168.3.10,192.168.4.10,Within,512,0.001747,0.003774,0.001342,3256832,1737.098895,424.09641
