,No. of Packets,h1 to h2,h2 to h1,h2 to h3,h3 to h2,h1 to h3,h3 to h1,h3 to h4,h4 to h3
Round 1,5,0.07,0.093,0.074,0.073,0.085,0.197,0.094,0.115
,15,0.175,0.782,1.419,0.576,0.699,1.089,0.214,1.49
,25,1.701,1.404,2.244,1.792,2.203,1.333,0.696,1.453
,35,1.004,2.313,1.795,2.209,2.255,1.04,1.15,1.025
,45,1.866,2.226,2.381,1.069,1.386,1.018,0.809,1.208
,55,0.635,1.513,1.84,0.679,1.717,1.201,2.097,2.302
,65,1.219,1.752,2.294,1.208,1.712,1.377,1.98,1.729
,75,2.229,1.037,1.582,1.102,1.22,1.485,1.935,1.703
,85,1.182,1.989,1.161,1.277,2.109,1.769,1.328,1.131
,95,1.298,2.138,2.071,1.141,1.798,1.699,1.422,1.786
,105,1.821,1.693,0.801,0.911,1.215,1.723,0.488,0.902
Round 2,5,0.272,0.142,0.232,0.145,0.107,0.195,0.109,0.176
,15,0.148,0.767,1.906,0.061,0.183,1.688,2.317,0.194
,25,0.59,0.987,1.635,0.797,0.261,0.97,1.73,1.014
,35,1.929,1.632,1.535,0.172,1.672,1.145,2.055,2.88
,45,2.14,1.528,0.773,0.785,1.877,1.117,1.459,1.233
,55,0.946,1.443,1.351,1.524,2.507,1.253,2.369,1.035
,65,0.986,1.645,2.06,1.318,2.159,0.85,1.894,1.811
,75,1.473,1.319,1.017,0.846,1.322,1.102,0.778,1.927
,85,1.233,1.633,1.333,1.014,1.678,0.925,1.346,1.314
,95,1.551,0.711,1.445,1.32,1.89,1.221,1.284,1.1
,105,1.701,0.761,1.002,0.662,1.814,1.698,0.616,1.966
Round 3 ,5,0.358,0.172,0.105,0.099,0.084,0.31,0.063,0.082
,15,1.894,2.263,1.265,0.099,1.357,1.44,1.648,0.19
,25,1.683,0.388,0.839,1.971,0.734,1.344,1.441,1.748
,35,2.288,1.191,1.039,0.132,1.9,0.809,1.971,2.619
,45,1.973,1.359,2.257,0.846,1.093,0.122,0.999,1.544
,55,2.33,1.647,1.05,0.511,1.69,1.281,1.69,0.149
,65,1.668,1.498,1.337,1.443,1.035,1.65,0.723,1.78
,75,1.459,1.807,1.681,0.147,1.241,2.907,1.116,0.113
,85,1.208,1.009,0.536,1.487,1.931,1.762,0.51,0.441
,95,2.058,1.494,1.524,1.568,1.836,0.987,1.735,2.02
,105,0.927,1.287,1.213,1.262,1.649,1.512,1.191,1.241
